Poet	Year of birth	Year of death
Tinódi, Sebestyén	around 1505	1556
Bornemisza, Péter	1535	1584
Balassi, Bálint	1554	1594
Szenci Molnár, Albert	1574	1634
Zrínyi, Miklós	1620	1664
Petrőczy, Kata Szidónia	around 1662	1708
Amade, László	around 1704	1764
Faludi, Ferenc	1704	1779
Bessenyei, György	around 1747	1811
Virág, Benedek	around 1754	1830
Földi, János	1755	1801
Ányos, Pál	1756	1784
Verseghy, Ferenc	1757	1822
Kazinczy, Ferenc	1759	1831
Batsányi, János	1763	1845
Fazekas, Mihály	1766	1828
Szentjóbi Szabó, László	1767	1795
Dayka, Gábor	1769	1796
Kisfaludy, Sándor	1772	1844
Csokonai Vitéz, Mihály	1773	1805
Berzsenyi, Dániel	1776	1836
Kisfaludy, Károly	1788	1830
Kölcsey, Ferenc	1790	1838
Katona, József	1791	1830
Vörösmarty, Mihály	1800	1855
Bajza, József	1804	1858
Garay, János	1812	1853
Eötvös, József	1813	1871
Arany, János	1817	1882
Tompa, Mihály	1817	1868
Petőfi, Sándor	1823	1849
Madách, Imre	1823	1864
Gyulai, Pál	1826	1909
Vajda, János	1827	1897
Arany, László	1844	1898
Reviczky, Gyula	1855	1889
Komjáthy, Jenő	1858	1895
Ady, Endre	1877	1919
Móricz, Zsigmond	1879	1942
Kaffka, Margit	1880	1918
Somlyó, Zoltán	1882	1937
Juhász, Gyula	1883	1937
Babits, Mihály	1883	1941
Kosztolányi, Dezső	1885	1936
Tóth, Árpád	1886	1928
Karinthy, Frigyes	1887	1938
Reményik, Sándor	1890	1941
József, Attila	1905	1937
Dsida, Jenő	1907	1938
Radnóti, Miklós	1909	1944
ALL	around 1505	1944
